x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
1.049999967217445374e-01,1.378128104079223704e-06,-7.512113451957702637e-02,5.903590098023414612e-02,1.193038304336369038e-03,-6.901557743549346924e-02,5.355601385235786438e-02
1.099999994039535522e-01,1.546558223708416335e-06,-8.136784285306930542e-02,6.075582653284072876e-02,1.155799604021012783e-03,-7.470381259918212891e-02,5.507399514317512512e-02
1.149999946355819702e-01,1.732320697556133382e-06,-8.777946233749389648e-02,6.238397210836410522e-02,1.110892510041594505e-03,-8.053613454103469849e-02,5.650636926293373108e-02
1.199999973177909851e-01,1.929605787154287100e-06,-9.434702247381210327e-02,6.392136216163635254e-02,1.058545662090182304e-03,-8.650390803813934326e-02,5.785428360104560852e-02
1.250000000000000000e-01,2.141601726179942489e-06,-1.010616943240165710e-01,6.536899507045745850e-02,9.989775717258453369e-04,-9.259870648384094238e-02,5.911882221698760986e-02
1.299999952316284180e-01,2.365796035519451834e-06,-1.079148501157760620e-01,6.672791391611099243e-02,9.324637358076870441e-04,-9.881235659122467041e-02,6.030111387372016907e-02
1.349999904632568359e-01,2.604496330604888499e-06,-1.148979812860488892e-01,6.799911707639694214e-02,8.592554950155317783e-04,-1.051369011402130127e-01,6.140228733420372009e-02
1.400000005960464478e-01,2.852422539945109747e-06,-1.220027804374694824e-01,6.918364763259887695e-02,7.796484278514981270e-04,-1.115645915269851685e-01,6.242346018552780151e-02
1.449999958276748657e-01,3.120470182693679817e-06,-1.292209178209304810e-01,7.028254121541976929e-02,6.939455633983016014e-04,-1.180877387523651123e-01,6.336575746536254883e-02
1.499999910593032837e-01,3.396097326913150027e-06,-1.365442723035812378e-01,7.129683345556259155e-02,6.024641916155815125e-04,-1.246989071369171143e-01,6.423033028841018677e-02
1.550000011920928955e-01,3.686509444378316402e-06,-1.439647078514099121e-01,7.222758978605270386e-02,5.055405199527740479e-04,-1.313907653093338013e-01,6.501831859350204468e-02
1.599999964237213135e-01,3.995449787908000872e-06,-1.514739990234375000e-01,7.307583838701248169e-02,4.035281017422676086e-04,-1.381559818983078003e-01,6.573083996772766113e-02
1.649999916553497314e-01,4.308011739340145141e-06,-1.590643525123596191e-01,7.384265959262847900e-02,2.967826148960739374e-04,-1.449874937534332275e-01,6.636905670166015625e-02
1.700000017881393433e-01,4.632747732102870941e-06,-1.667276322841644287e-01,7.452911138534545898e-02,1.856837334344163537e-04,-1.518781781196594238e-01,6.693412363529205322e-02
1.749999970197677612e-01,4.971815087628783658e-06,-1.744558513164520264e-01,7.513625174760818481e-02,7.061913493089377880e-05,-1.588210463523864746e-01,6.742716580629348755e-02
1.799999922513961792e-01,5.316836450219852850e-06,-1.822410970926284790e-01,7.566516846418380737e-02,-4.801002069143578410e-05,-1.658091992139816284e-01,6.784936040639877319e-02
1.850000023841857910e-01,5.679468813468702137e-06,-1.900755017995834351e-01,7.611694931983947754e-02,-1.698007254162803292e-04,-1.728357970714569092e-01,6.820185482501983643e-02
1.899999976158142090e-01,6.048871455277549103e-06,-1.979511678218841553e-01,7.649265229701995850e-02,-2.943380386568605900e-04,-1.798940747976303101e-01,6.848581135272979736e-02
1.949999928474426270e-01,6.432003829104360193e-06,-2.058603167533874512e-01,7.679340243339538574e-02,-4.211814666632562876e-04,-1.869772523641586304e-01,6.870236992835998535e-02
1.999999880790710449e-01,6.819106602051761001e-06,-2.137951850891113281e-01,7.702027261257171631e-02,-5.499209510162472725e-04,-1.940787434577941895e-01,6.885270774364471436e-02
2.049999982118606567e-01,7.217286110972054303e-06,-2.217481583356857300e-01,7.717437297105789185e-02,-6.801135605201125145e-04,-2.011919468641281128e-01,6.893797218799591064e-02
2.099999934434890747e-01,7.620603810210013762e-06,-2.297116070985794067e-01,7.725680619478225708e-02,-8.113268995657563210e-04,-2.083103209733963013e-01,6.895934045314788818e-02
2.149999886751174927e-01,8.034654456423595548e-06,-2.376780360937118530e-01,7.726868242025375366e-02,-9.431152138859033585e-04,-2.154274731874465942e-01,6.891795247793197632e-02
